,Paths,features0,features1,features2,Type,Labels,Predictions,Confidence,Errors,Accuracy
0,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02109961-Eskimo_dog/n02109961_8185.jpg,12.76465,3.2534564,-2.7593572,TRAIN,Eskimo Dog,Eskimo Dog,99.0556180477142,Correct,1
1,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02113023-Pembroke/n02113023_8021.jpg,5.642561,-3.8744884,12.838288,TRAIN,Pembroke,Pembroke,99.4727551937103,Correct,1
2,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02100583-vizsla/n02100583_10367.jpg,-8.749017,-5.7397943,8.672601,TRAIN,Vizsla,Vizsla,99.9116599559784,Correct,1
3,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02100583-vizsla/n02100583_3008.jpg,-7.231228,-5.450459,7.049753,TRAIN,Vizsla,Vizsla,99.1656064987183,Correct,1
4,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02100236-German_short-haired_pointer/n02100236_817.jpg,-0.58220303,-7.2067432,-7.46541,TRAIN,German Short,German Short,99.9607145786285,Correct,1
5,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02093859-Kerry_blue_terrier/n02093859_746.jpg,-6.198583,5.3591275,-12.708204,TRAIN,Kerry Blue Terrier,Kerry Blue Terrier,99.8355209827423,Correct,1
6,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02095570-Lakeland_terrier/n02095570_427.jpg,-2.5769644,7.0070963,6.070269,TRAIN,Lakeland Terrier,Lakeland Terrier,99.6014833450317,Correct,1
7,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02106382-Bouvier_des_Flandres/n02106382_886.jpg,-7.4634824,8.3639965,-9.649158,TRAIN,Bouvier Des Flandres,Bouvier Des Flandres,99.3310570716858,Correct,1
8,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02096437-Dandie_Dinmont/n02096437_1891.jpg,-2.431063,13.955775,7.109148,TRAIN,Dandie Dinmont,Dandie Dinmont,99.6529161930084,Correct,1
9,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02090721-Irish_wolfhound/n02090721_3302.jpg,4.454317,7.7700443,-7.918402,TRAIN,Irish Wolfhound,Irish Wolfhound,99.7301697731018,Correct,1
10,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02093256-Staffordshire_bullterrier/n02093256_5325.jpg,4.1745048,-5.432755,-9.463763,TRAIN,Staffordshire Bullterrier,Staffordshire Bullterrier,98.5025227069855,Correct,1
11,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02085782-Japanese_spaniel/n02085782_1774.jpg,14.938257,-1.9385365,2.0883577,TRAIN,Japanese Spaniel,Japanese Spaniel,99.9159455299377,Correct,1
12,https://storage.googleapis.com/multiclass_classification/dogbreeds/train/n02094114-Norfolk_terrier/n02094114_1490.jpg,-6.3071322,10.646958,9.929672,TRAIN,Norfolk Terrier,Norfolk Terrier,99.7366011142731,Correct,1
